panel_index,assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
0,0,0,0,421.8267517089844,0,429,429,False,origin,False
0,1,1,35,435.2582461965686,429,440,11,False,motion_hypothesis+pose_low_frequency_soft,False
0,2,2,37,445.61659431806993,440,453,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,3,3,39,459.90126506354903,453,467,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,4,4,41,474.2121021308773,467,479,12,False,motion_hypothesis+pose_low_frequency_soft,False
0,5,5,42,483.2587353206874,479,488,9,False,motion_hypothesis+pose_low_frequency_soft,False
0,6,6,43,492.50048012609864,488,497,9,False,motion_hypothesis+pose_low_frequency_soft,False
0,7,7,44,501.9143497818411,497,508,11,False,motion_hypothesis+pose_low_frequency_soft,False
0,8,8,45,513.5542862630775,508,519,11,False,motion_hypothesis+pose_low_frequency_soft,False
0,9,9,46,524.7126154389036,519,531,12,False,motion_hypothesis+pose_low_frequency_soft,False
0,10,10,47,537.7501751279399,531,544,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,11,11,48,550.5865703721671,544,557,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,12,12,49,562.9770357727805,557,571,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,13,13,50,578.0625997451665,571,585,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,14,14,51,591.1701558537079,585,598,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,15,15,52,604.3748829844069,598,612,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,16,16,53,620.5135707255979,612,628,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,17,17,54,634.7917888925367,628,642,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,18,18,55,648.8140504301998,642,657,15,False,motion_hypothesis+pose_low_frequency_soft,False
0,19,19,56,665.7730522452966,657,673,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,20,20,57,680.9643297599232,673,690,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,21,21,58,698.8681417253817,690,707,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,22,22,59,714.3303416956397,707,722,15,False,motion_hypothesis+pose_low_frequency_soft,False
0,23,23,60,730.1438162922017,722,740,18,False,motion_hypothesis+pose_low_frequency_soft,False
0,24,24,61,749.624288497956,740,756,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,25,25,62,762.3512795958301,756,769,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,26,26,63,775.2091012571298,769,785,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,27,27,64,795.3354995417121,785,804,19,False,motion_hypothesis+pose_low_frequency_soft,False
0,28,28,65,812.2241666153732,804,822,18,False,motion_hypothesis+pose_low_frequency_soft,False
0,29,29,66,832.442934768213,822,839,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,30,30,67,845.7948411550024,839,860,21,False,motion_hypothesis+pose_low_frequency_soft,False
0,31,31,68,873.48699380979,860,881,21,False,motion_hypothesis+pose_low_frequency_soft,False
0,32,32,69,887.5250966967214,881,897,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,33,33,70,907.1568387054382,897,914,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,34,34,71,920.970763162519,914,930,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,35,35,72,939.8577061660357,930,947,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,36,36,73,953.8309004416095,947,961,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,37,37,74,967.8502938608291,961,975,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,38,38,75,981.8612196901242,975,989,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,39,39,76,995.7249482244807,989,1009,20,False,motion_hypothesis+pose_low_frequency_soft,False
0,40,40,77,1023.1180228615308,1009,1031,22,False,motion_hypothesis+pose_low_frequency_soft,False
0,41,41,78,1038.0981473230781,1031,1046,15,False,motion_hypothesis+pose_low_frequency_soft,False
0,42,42,79,1052.95720053611,1046,1059,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,43,43,80,1065.6337816313803,1059,1072,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,44,44,81,1077.5034922835607,1072,1089,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,45,45,82,1100.576849721791,1089,1108,19,False,motion_hypothesis+pose_low_frequency_soft,False
0,46,46,83,1115.1431796778456,1108,1122,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,47,47,84,1129.4621598411636,1122,1137,15,False,motion_hypothesis+pose_low_frequency_soft,False
0,48,48,85,1143.7107902121456,1137,1151,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,49,49,86,1157.676233758025,1151,1164,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,50,50,87,1171.0288726400777,1164,1180,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,51,51,88,1189.0569064014535,1180,1198,18,False,motion_hypothesis+pose_low_frequency_soft,False
0,52,52,89,1207.5391288744058,1198,1217,19,False,motion_hypothesis+pose_low_frequency_soft,False
0,53,53,90,1225.7823202514592,1217,1235,18,False,motion_hypothesis+pose_low_frequency_soft,False
0,54,54,91,1243.8975513425676,1235,1252,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,55,55,92,1261.0891638536846,1252,1270,18,False,motion_hypothesis+pose_low_frequency_soft,False
0,56,56,93,1278.6233195476914,1270,1287,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,57,57,94,1295.912456082298,1287,1304,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,58,58,95,1312.9286036290023,1304,1321,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,59,59,96,1329.754226490153,1321,1338,17,False,motion_hypothesis+pose_low_frequency_soft,False
0,60,60,97,1346.1176790563493,1338,1354,16,False,motion_hypothesis+pose_low_frequency_soft,False
0,61,61,98,1362.1141917633365,1354,1378,24,False,motion_hypothesis+pose_low_frequency_soft,False
0,62,62,99,1393.0486626390903,1378,1400,22,False,motion_hypothesis+pose_low_frequency_soft,False
0,63,63,100,1407.933289756682,1400,1415,15,False,motion_hypothesis+pose_low_frequency_soft,False
0,64,64,101,1422.33470662308,1415,1429,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,65,65,102,1436.5322306536734,1429,1443,14,False,motion_hypothesis+pose_low_frequency_soft,False
0,66,66,103,1449.913883519748,1443,1456,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,67,67,104,1462.789748213798,1456,1469,13,False,motion_hypothesis+pose_low_frequency_soft,False
0,68,68,105,1475.456598272877,1469,1482,13,False,motion_hypothesis+pose_low_frequency_soft,False
